User Id,User Name,location,Lat,Lon,USA
2866245473,CavernFabio,Cavern Country,29.692409499999997,-98.34272759999999,1.0
825772057053057025,mlramsdale_law,"Sullivan's Island, SC",32.763232300000006,-79.8367511,1.0
864999784049803264,Bompi_Tortilli,"London, England",51.5073509,-0.12775830000000002,0.0
916084198590631937,bustercrabbe7,"Chicago, IL",41.8781136,-87.62979820000001,1.0
86970530,tmprowell,,,,
780556168410259456,TheMamaJenJen,"Springfield MO, dreams it could MI again.",37.20895720000001,-93.2922989,1.0
1289407460,xavier_police,Xavier University,29.964108799999998,-90.107647,1.0
885089248013148161,TeslaOpinion,,,,
1195538863118139393,1Chance2020,"Swing States, USA",,,
2907767736,TheLogicAcademy,Exchange Road Haveli Lakha,30.445755699999996,73.70064140000001,0.0
818246053468262401,WatchYourRepsSC,,,,
1069582013290696704,MillennialWorx,"Hazratganj, Lucknow, India",26.854153600000004,80.9447827,0.0
28372145,HandOfCaliSea,"San Diego, CA",32.715738,-117.1610838,1.0
27896928,lassie4808,minnesota,46.729553,-94.6858998,1.0
406440494,shalomshuli,"Alabama, Biotch! ",32.3182314,-86.902298,1.0
20743672,danicavm,Montreal • New York • London,45.506085399999996,-73.5536023,0.0
40765831,Buckeye4NC,"Raleigh, NC",35.7795897,-78.6381787,1.0
343984061,CyclingShortsUK,,,,
290239591,katcaswell,"Orange County, CA",33.7174708,-117.83114280000001,1.0
438896246,BetsyPecora,,,,
860707958,TripawdMom,"Arizona, USA",34.048928100000005,-111.0937311,1.0
14555901,straight_arrow,"Denver, CO",39.739235799999996,-104.990251,1.0
524051590,carolinablancco,,,,
813222361705181184,HolisticShih,"Houston, TX",29.7604267,-95.36980279999999,1.0
301190827,msonnenburg,"Wisconsin, USA",43.78443970000001,-88.7878678,1.0
433716584,BigKatNation,,,,
296421716,Bigeeta_Jones,"Los Angeles, CA",34.0522342,-118.24368490000002,1.0
4188221547,tweetsie26,United States🇺🇸,,,
768201903666704384,PeachyPenzo,,,,
722976799781576705,Tagsitqaf,Liberty Avenue,40.683802299999996,-73.8335179,1.0
864663235923820545,olivier_patti,ARIZONA,34.048928100000005,-111.0937311,1.0
862432865899905024,LGBTQMOM_95,United States,37.09024,-95.712891,1.0
1136529889123741696,PuducherryFOB,"Pondicherry, India",11.9415524,79.8082865,0.0
1031691314536935424,BCWildfireWkly,"British Columbia, Canada",53.72666829999999,-127.6476205,0.0
732393510666526720,hawkilitle,,,,
1625586576,Moogthurso,"Scotland, United Kingdom",56.49067120000001,-4.2026458,0.0
1380678722,MorganFrawley,"Sydney, Australia",-33.8688197,151.2092955,0.0
1150734839009751041,VeganEarthling,Planet Earth,38.253749,-78.458708,1.0
61733129,alan210746,"St Kew Highway, Cornwall",50.546834999999994,-4.781343,0.0
4597986074,ProudPersister,,,,
483582443,eaash7,,,,
1255542493694787587,crypto_lamba,,,,
87407427,Elisabeth_Drcy,"Florida, USA",27.664827399999997,-81.5157535,1.0
825895528605028352,HarriganCath,"San Jose, CA",37.338208200000004,-121.88632859999998,1.0
40185823,wildcrafttweet,,,,
3412395613,KolkataPolice,"18 Lalbazar St. Kolkata-1,WB",22.5726036,88.3523827,0.0
2196233449,Pam1010101010,,,,
925971044728496128,DC_Faridabad,"Faridabad, India",28.4089123,77.31778940000001,0.0
51751839,dotunderscore,Fredericton,45.963589500000005,-66.6431151,0.0
3018482470,Hola_Mars,,,,
2364416888,Tactical5x5,"Bellflower, CA",33.881681799999996,-118.1170117,1.0
15218646,kittikatti,"Helsinki, Finland",60.16985570000001,24.938379100000002,0.0
920810468,bigdaddy4270,"Deerfield Beach, FL",26.318412300000002,-80.0997657,1.0
2953583434,YMBBastepaway,"South Haven, MI",42.4030865,-86.2736407,1.0
1251312422826041344,fingers_numb,Manila ,14.599512400000002,120.98421950000001,0.0
859846024088760320,WestchesterDA,"White Plains, NY",41.0339862,-73.76290970000001,1.0
1267432410318168065,AhadChee,"Al Ain, UAE ",24.130161899999997,55.8023118,0.0
983437007950053378,WestConPro,"White Plains, NY",41.0339862,-73.76290970000001,1.0
91682645,BridgeportFM,"Bridgeport, WV",39.2864787,-80.25619809999999,1.0
1686369542,rr7lv,USA/TN,35.517491299999996,-86.5804473,1.0
253813289,AngelLealLawyer,"Miami, Florida",25.7616798,-80.1917902,1.0
867722440301883392,noida_authority,,,,
1024004891491160066,JusticiaLealtv,,,,
47951823,SocialMisfit_AJ,"Phenix City, AL",32.4709761,-85.0007653,1.0
1901230890,LaceyFireDist3,"Lacey, Washington",47.0358969,-122.82325530000001,1.0
2593739885,damnitanders,,,,
918580097719812096,MaskOakland,"Oakland, CA",37.804351399999994,-122.27116389999999,1.0
311677386,DMansini,,,,
358209716,Aaron_Lyon,"Seattle, WA, USA",47.6062095,-122.33207079999998,1.0
589407608,RockyMntnMike,Blue in red state turning blue,37.09024,-95.712891,1.0
1258407686426812416,CryptoMasks,,,,
328775219,itsEKEZINO,"Owerri, Nigeria",5.489058999999999,7.0175879,0.0
1255484522117894145,297_ArubaLover,,,,
267988131,donna_4homes,"Oregon, USA",43.8041334,-120.55420120000001,1.0
18787203,tbigbee,"Oklahoma City, OK",35.4675602,-97.5164276,1.0
2296225874,BenKallos,244 E. 93rd St. - 212-860-1950,40.782441600000006,-73.9490695,1.0
726149702161412096,ja_photovideo,"Orlando, FL",28.5383355,-81.3792365,1.0
240053878,Appenzell07,,,,
24781975,barbilazarow,,,,
1095305568737206272,BrandonBert118,"Sudbury Ontario, Canada",46.4917317,-80.993029,0.0
138523104,schanzerdavid,Duke University,36.0014258,-78.9382286,1.0
730004800042045440,MedPierre,,,,
378324860,ClassicPhil420,"Bronx, NY",40.844781899999994,-73.86482679999999,1.0
186939491,PWoosmann,"Berlin, Germany",52.5200066,13.404954,0.0
360669674,melissadderosa,"New York, NY",40.7127753,-74.0059728,1.0
12416872,ClaudiaIzet,"New York, NY",40.7127753,-74.0059728,1.0
10937212,simonasiri,"New York, NY",40.7127753,-74.0059728,1.0
1111779299714101248,MALVICIOUSS,Gotham City,41.8838802,-87.6317328,1.0
2637143082,locat66,United Kingdom,55.378051,-3.435973,0.0
2160636955,sharadsingh79,kahin ka nahi,,,
3356812804,LoesVleer,Haagse Bloemenbuurt,52.075922799999994,4.2600138,0.0
36444983,jakelovesgolf,,,,
1249079964923764737,JHAZ15638111,,,,
1357591110,cprado724,"Los Angeles, CA",34.0522342,-118.24368490000002,1.0
815708250217840640,TheSWPrincess,"MoCo, Maryland",39.154742600000006,-77.2405153,1.0
28191495,Dani_Lever,"New York, New York",40.7127753,-74.0059728,1.0
1865087977,csheehan917,"Ohio, USA",40.4172871,-82.907123,1.0
1017762162356473856,8YogaGirl8,United States,37.09024,-95.712891,1.0
1240232908717281281,KenSirkin_7795,South Florida,27.664827399999997,-81.5157535,1.0
33545031,raschatz,Philly suburbs,39.9541282,-75.1668627,1.0
80837481,Sanj_news,"Rajkot, Gujarat",22.303894500000002,70.8021599,0.0
190707442,odobehave,London UK,51.5073509,-0.12775830000000002,0.0
20712757,jeffonli,"New York, USA",40.7127753,-74.0059728,1.0
848647844,scrimmins_94,"East Olympia, WA",46.9675972,-122.83569059999999,1.0
111709441,Tonys__Tweets,New York ,40.7127753,-74.0059728,1.0
171828737,EnviroEdgeNews,,,,
2329289923,CarolEtgen1,Pacific Northwest,41.8796763,-87.63560550000001,1.0
1005835320,pullupnosilence,United States,37.09024,-95.712891,1.0
887363635692969984,hiral4congress,"Arizona, USA",34.048928100000005,-111.0937311,1.0
210931957,TucsonRomero,"Tucson, Arizona",32.2226066,-110.9747108,1.0
370249292,RunningLine1,"Argyll, Scotland, UK",56.400621400000006,-5.480748,0.0
2355188226,LWVGT,"Tucson, Arizona",32.2226066,-110.9747108,1.0
1240099620,LiteracyQueenB,,,,
2409947605,ladyrob12112,,,,
82718142,htharrington,"Tucson, AZ",32.2226066,-110.9747108,1.0
283281440,iamvikkijones,United States,37.09024,-95.712891,1.0
313811783,judafig,Planeta Tierra,,,
1121571689580630016,AtomicJayne,Planet Earth,38.253749,-78.458708,1.0
1076106974478110721,PollyFirebrand,"North Carolina, USA",35.759573100000004,-79.01929969999999,1.0
174088066,CurlySueChick19,"New York, NY",40.7127753,-74.0059728,1.0
780503912260468736,DrSanjayPopat,"London, England",51.5073509,-0.12775830000000002,0.0
1398747840,Joeanthony_nyc,#StGeorge~#StatenIsland~#NYC,40.6427017,-74.07994690000001,1.0
36094197,What2WearWhere,New York,40.7127753,-74.0059728,1.0
1173979697803333632,Donkoola1,,,,
35961047,luvfinity,Oklahoma,35.4675602,-97.5164276,1.0
2911963871,evahagendazs,,,,
89230199,BBQ_n_Beer,not too far from Normal ,37.684036,-97.316727,1.0
27029742,udnore,London and Dubai,51.498875399999996,-0.1349611,0.0
247125507,DrEmilyRSmith,"Washington, D.C.",38.9071923,-77.03687070000001,1.0
259781119,jessicanable,NY,40.7127753,-74.0059728,1.0
1691437747,VintageNurse82,United States,37.09024,-95.712891,1.0
1018243254,ManikinRunner,"Des Moines, IA",41.5868353,-93.6249593,1.0
75255956,AudreyRachelle1,Los Angeles,34.0522342,-118.24368490000002,1.0
1170377688361525249,RAlsakkaf,"Tucson, AZ",32.2226066,-110.9747108,1.0
1267193234582908928,SouthMasks,"Southampton, England",50.9097004,-1.4043508999999998,0.0
1520577978,AliciaFodor,,,,
